feature,importance
daily_return,0.12230918708184514
macd,0.09784734966547612
log_return,0.08716273360236691
williams_r,0.08392951205431796
rsi,0.0730227466074019
close_price,0.06522891361142066
volume_ratio,0.06503349326684711
atr,0.06321716075722189
sma_20,0.0490206153002954
volume,0.04863731103142632
obv,0.047689037047527534
sma_5,0.0472589630836716
stochastic_k,0.03657111278856102
volatility_20d,0.032902542081730456
bb_width,0.028908567615794016
cci,0.028030322695131733
momentum,0.023230431708964234
